qid,question,qtype,raw_prob,prob,at,source
45707,"[PRACTICE] What will the average ""new forecasters per day"" be on this question before this question closes?",discrete,"{""0.05"": 1.5, ""0.25"": 2.8, ""0.5"": 4.2, ""0.75"": 5.8, ""0.95"": 8.5}",cdf:92,2026-09-06T06:01:10.378240+00:00,numeric
45709,"How many confirmed measles cases will the CDC report in the United States for 2026, as of the update closest to September 17, 2026?",numeric,"{""0.05"": 3250.0, ""0.25"": 3400.0, ""0.5"": 3550.0, ""0.75"": 3700.0, ""0.95"": 3900.0}",cdf:201,2026-09-07T00:16:15.272534+00:00,numeric
45710,"Will Turkey's NDK have issued an operating license for Akkuyu Nuclear Power Plant Unit 1 by September 17, 2026?",binary,0.4667,0.4667,2026-09-07T00:56:16.511360+00:00,crowd
45711,Will Venezuela be elected to the IAEA Board of Governors at the 70th General Conference?,binary,0.4,0.4,2026-09-07T02:21:18.758273+00:00,crowd+esc
45712,"What heat-wave ""bollino"" level will Italy's Ministry of Health assign to Rome for September 17, 2026?",multiple_choice,"{""Level 0 (verde)"": 0.28, ""Level 1 (giallo)"": 0.42, ""Level 2 (arancione)"": 0.22, ""Level 3 (rosso)"": 0.08}","{""Level 0 (verde)"": 0.28, ""Level 1 (giallo)"": 0.42, ""Level 2 (arancione)"": 0.22, ""Level 3 (rosso)"": 0.08}",2026-09-07T02:35:36.695413+00:00,mc
45713,"Will Solana (SOL) close above $100 on September 17, 2026?",binary,0.5,0.5,2026-09-07T03:36:28.251812+00:00,crowd+esc
45714,"What will Bitcoin dominance be on September 17, 2026?",discrete,"{""0.05"": 56.5, ""0.25"": 58.3, ""0.5"": 59.3, ""0.75"": 60.2, ""0.95"": 61.8}",cdf:102,2026-09-07T04:16:16.250819+00:00,numeric
45715,"Will Turkey's Court of Cassation have issued a ruling in the CHP 'mutlak butlan' case by September 17, 2026?",binary,0.4,0.4,2026-09-07T05:01:24.374636+00:00,crowd+esc
45716,"What will U.S. spot Ethereum ETFs report as their total net flow for September 17, 2026?",numeric,"{""0.05"": -150.0, ""0.25"": -30.0, ""0.5"": 20.0, ""0.75"": 80.0, ""0.95"": 220.0}",cdf:201,2026-09-07T05:16:12.844836+00:00,numeric
45717,What will the 54-hole leader's score to par be at the 2026 BMW PGA Championship?,discrete,"{""0.05"": -20.0, ""0.25"": -17.0, ""0.5"": -15.0, ""0.75"": -13.0, ""0.95"": -9.0}",cdf:18,2026-09-07T06:36:21.126842+00:00,numeric
45718,"Will the 'Ban Artificial Superintelligence Act' be formally introduced in Congress by September 18, 2026?",binary,0.4,0.4,2026-09-07T07:05:48.221445+00:00,crowd+esc
45719,"Will the NSE IPO be open for subscription at any point on September 17 or September 18, 2026 (IST)?",binary,0.4667,0.4667,2026-09-07T07:40:48.537754+00:00,crowd
45720,"How many metric tons of net US soybean sales to China (2026/27 marketing year) will the USDA Weekly Export Sales report released September 17, 2026 show?",numeric,"{""0.05"": -50000.0, ""0.25"": 150000.0, ""0.5"": 450000.0, ""0.75"": 900000.0, ""0.95"": 1600000.0}",cdf:201,2026-09-07T07:50:43.335426+00:00,numeric
45721,"How many drones will Russia launch at Ukraine in the overnight attack reported on the morning of September 18, 2026?",numeric,"{""0.05"": 60.0, ""0.25"": 130.0, ""0.5"": 220.0, ""0.75"": 350.0, ""0.95"": 600.0}",cdf:201,2026-09-07T08:25:47.363174+00:00,numeric
